xcoord,ycoord
116.3894407,39.9062721
116.3930703,39.906394
116.3970962,39.9065222
116.3898158,39.8987502
116.3934609,39.8988716
116.3855622,39.8989751
116.3779918,39.8987474
116.3766593,39.9058516
116.4004073,39.9066074
116.4117218,39.9069468
116.4052788,39.9067581
116.4118329,39.9048304
116.3638695,39.966728
116.315387,39.9062149
116.3150712,39.9062164
116.3107059,39.9062558
116.3639092,39.9662639
116.3285085,39.9169027
116.3388295,39.9170486
116.3471769,39.9170618
116.3499229,39.9277429
116.3945787,39.9933535
116.394698,39.9885124
116.4289147,39.9877395
116.4581358,39.9732944
116.4206977,39.9071039
116.434823,39.9072277
116.4441203,39.9071643
116.4005425,39.9116148
116.4048417,39.9171306
116.4049605,39.9141059
116.3967714,39.913736
116.4004361,39.9138882
116.4116106,39.9141866
116.4203698,39.9141931
116.4113816,39.9173925
116.4487223,39.9560376
116.4468006,39.9574926
116.448104,39.9566269
116.4205538,39.910715
116.4205201,39.911412
116.4201576,39.9177719
116.4200322,39.9205644
116.4011781,39.9816984
116.429338,39.9096974
116.420821,39.9036864
116.3934635,39.8982538
116.4004262,39.8993163
116.4054759,39.8994584
116.4108863,39.9321558
116.4195919,39.9322287
116.4025943,39.9319029
116.4022176,39.9394693
116.3897402,39.9387626
116.4024032,39.9363904
116.3137272,39.9311044
116.3275909,39.9311142
116.3433507,39.9310731
116.3617734,39.9311321
116.366768,39.931361
116.3706008,39.9314618
116.3738596,39.9316526
116.3875497,39.9477585
116.309828,39.990832
116.326695,39.991455
116.3733343,39.9600558
116.3660573,39.9859732
116.4194138,39.9395643
116.4191892,39.9480266
116.4558961,39.9400348
116.466617,39.9324698
116.4558406,39.9323044
116.449288,39.9399723
116.4559674,39.9122122
116.4610619,39.9324533
116.4608498,39.9280488
116.4313674,39.9255377
116.4345463,39.9255603
116.4375595,39.925585
116.4399335,39.9219408
116.4442705,39.9322818
116.4443301,39.9399381
116.4440395,39.9461968
116.4704488,39.9527914
116.4651529,39.9510556
116.4558862,39.9480762
116.4493104,39.9469533
116.4557131,39.9178844
116.5112294,39.9390847
116.4958798,39.9347876
116.4723397,39.9324953
116.4442578,39.9215777
116.4465909,39.920324
116.4786684,39.9142133
116.4755044,39.9142385
116.4719157,39.9143575
116.4664507,39.9146811
116.4634393,39.9152869
116.4555178,39.9359967
116.455243,39.9510421
116.4556261,39.9505309
116.455406,39.9511173
116.4841774,39.9325092
116.4837142,39.9395822
116.4836822,39.9112532
116.4836972,39.9087992
116.4836252,39.887173
116.4812927,39.8613807
116.4796188,39.8509959
116.4763178,39.8439902
116.4567484,39.8325259
116.2686986,39.8837546
116.3280315,39.9659957
116.269154,39.9295989
116.4379987,39.9632541
116.4302365,39.9679973
116.3681082,39.9667114
116.3205757,39.9659968
116.3040481,39.9259855
116.3058422,39.8705807
116.3178803,39.8494872
116.3878937,39.8556511
116.4400633,39.8574438
116.4466851,39.8598808
116.4550077,39.8728332
116.4344506,39.9827327
116.4787776,40.1102202
116.4831682,40.1777797
116.4837153,39.9491334
116.4834819,39.9325046
116.4552828,39.9323132
116.4551887,39.9181634
116.4554328,39.912209
116.4559468,39.907331
116.4552508,39.9073253
116.4555784,39.909522
116.4720953,39.921531
116.5117972,39.9218829
116.5832155,40.062061
116.5755719,40.0439156
116.4084956,39.8709157
116.4819236,39.9876974
116.4537604,39.9531812
116.453234,39.9528726
116.4557272,39.9218769
116.4551993,39.9219211
116.463535,39.9218197
116.4608683,39.9218919
116.4112829,39.9228805
116.4046137,39.9228879
116.3963111,39.922099
116.5176205,39.9073304
116.3678948,39.902634
116.3678165,39.9058344
116.3680621,39.8984225
116.3676249,39.9133382
116.3616483,39.8878789
116.3784775,39.8881566
116.394851,39.8906143
116.4000803,39.9228808
116.4719216,39.8414317
